seed,SA_R2_severe_MAE,SA_R3_severe_MAE,R3_improvement_absolute,R3_improvement_pct,SA_R2_underprediction_pct,SA_R3_underprediction_pct,SA_R2_mean_residual,SA_R3_mean_residual
42,142.703386,121.270043,21.433343,15.019506,92.010088,88.044645,139.711472,116.473034
43,163.931138,133.672747,30.258391,18.457989,98.996566,94.816484,163.682108,132.03665
44,149.958537,144.835781,5.122756,3.416115,94.84868,94.526722,148.304165,143.065806
45,140.399427,127.884142,12.515285,8.914057,96.399442,93.61451,139.394651,125.80107
46,175.192043,156.431747,18.760296,10.708418,98.840953,96.13651,174.960376,155.363551
