target_station,source_station,distance_km,mean_attention_weight,training_pm25_pearson_r,nearest_geographic_station,highest_attention_station
Nongzhanguan,Shunyi,26.817371,0.10662201,0.872652,False,False
Nongzhanguan,Tiantan,7.305621,0.0805929,0.951963,False,False
Nongzhanguan,Wanliu,15.837572,0.06525232,0.906858,False,False
Nongzhanguan,Wanshouxigong,11.378869,0.07683419,0.933461,False,False
Shunyi,Aotizhongxin,27.242545,0.0721655,0.888525,False,False
Shunyi,Changping,37.47135,0.08419321,0.819089,False,False
Shunyi,Dingling,41.244909,0.12460815,0.824508,False,True
Shunyi,Dongsi,29.922982,0.07458238,0.883769,False,False
Shunyi,Guanyuan,34.765778,0.07707707,0.879401,False,False
Shunyi,Gucheng,46.578888,0.06881623,0.858572,False,False
Shunyi,Huairou,22.467444,0.08892781,0.900714,True,False
Shunyi,Nongzhanguan,26.817371,0.08179369,0.872652,False,False
Shunyi,Tiantan,34.121849,0.0776751,0.877984,False,False
Shunyi,Wanliu,34.975604,0.06310835,0.863282,False,False
Shunyi,Wanshouxigong,37.850856,0.07392571,0.858678,False,False
Tiantan,Aotizhongxin,10.708725,0.07482784,0.94155,False,False
Tiantan,Changping,39.769571,0.08198407,0.822853,False,False
Tiantan,Dingling,47.865946,0.11774226,0.807895,False,True
Tiantan,Dongsi,4.856872,0.0774813,0.965634,False,False
Tiantan,Guanyuan,7.51684,0.07941757,0.959976,False,False
Tiantan,Gucheng,19.276111,0.06941577,0.893809,False,False
Tiantan,Huairou,52.619453,0.08541853,0.819772,False,False
Tiantan,Nongzhanguan,7.305621,0.08524154,0.951963,False,False
Tiantan,Shunyi,34.121849,0.10725494,0.877984,False,False
Tiantan,Wanliu,15.192265,0.06450041,0.921866,False,False
Tiantan,Wanshouxigong,4.776571,0.07635624,0.956842,True,False
Wanliu,Aotizhongxin,9.388444,0.07447093,0.936472,False,False
Wanliu,Changping,26.030311,0.08349251,0.866988,False,False
Wanliu,Dingling,34.389398,0.11881814,0.844789,False,True
Wanliu,Dongsi,12.820519,0.07655266,0.92487,False,False
Wanliu,Guanyuan,7.825419,0.07875693,0.952758,True,False
Wanliu,Gucheng,11.957292,0.07021758,0.935826,False,False
Wanliu,Huairou,47.72353,0.0861642,0.840013,False,False
Wanliu,Nongzhanguan,15.837572,0.08315807,0.906858,False,False
Wanliu,Shunyi,34.975604,0.10809573,0.863282,False,False
Wanliu,Tiantan,15.192265,0.07876322,0.921866,False,False
Wanliu,Wanshouxigong,13.327291,0.07564638,0.90759,False,False
Wanshouxigong,Aotizhongxin,12.184238,0.07499232,0.920363,False,False
Wanshouxigong,Changping,39.099431,0.08203474,0.79924,False,False
Wanshouxigong,Dingling,47.384661,0.11830481,0.784975,False,True
Wanshouxigong,Dongsi,7.931052,0.07716549,0.942293,False,False
Wanshouxigong,Guanyuan,5.778351,0.07937568,0.944659,False,False
Wanshouxigong,Gucheng,14.880608,0.06917723,0.886466,False,False
Wanshouxigong,Huairou,55.27036,0.08558609,0.795619,False,False
Wanshouxigong,Nongzhanguan,11.378869,0.08525273,0.933461,False,False
Wanshouxigong,Shunyi,37.850856,0.10766938,0.858678,False,False
Wanshouxigong,Tiantan,4.776571,0.07970592,0.956842,True,False
Wanshouxigong,Wanliu,13.327291,0.06437164,0.90759,False,False
