seed,SA_R2_macro_station_MAE,SA_R3_macro_station_MAE,R3_improvement_absolute,R3_improvement_pct
42,45.603081,46.199889,-0.596808,-1.308701
43,46.254125,45.847988,0.406137,0.878056
44,45.270557,44.60042,0.670137,1.480293
45,45.867083,45.936475,-0.069392,-0.151289
46,44.883138,44.442874,0.440264,0.980912
