architecture,candidate_id,capacity,learning_rate,regimes_scored,mean_macro_station_horizon_MAE,mean_macro_RMSE,selected
GRU,GRU_C01,64,0.0003,3,38.230279,56.017878,true
GRU,GRU_C02,64,0.001,3,39.496271,58.348501,false
GRU,GRU_C03,128,0.0003,3,38.674544,57.127198,false
GRU,GRU_C04,128,0.001,3,39.555138,58.861302,false
TCN,TCN_C01,32,0.0003,3,38.235049,56.187123,false
TCN,TCN_C02,32,0.001,3,38.079681,55.668863,true
TCN,TCN_C03,64,0.0003,3,38.119269,56.36457,false
TCN,TCN_C04,64,0.001,3,38.393063,56.568959,false
