model,architecture,regime,capacity,learning_rate,parameter_count,training_seconds,first_epoch_train_L1,final_epoch_train_L1
GRU_R0,GRU,R0,64,0.0003,24065,794.7,60.034665,39.558516
GRU_R1,GRU,R1,64,0.0003,24641,797.2,62.978344,34.313824
GRU_R2,GRU,R2,64,0.0003,27521,758.5,60.545147,33.323053
TCN_R0,TCN,R0,32,0.001,29345,1594.4,47.942767,34.89239
TCN_R1,TCN,R1,32,0.001,29729,1576.3,40.583277,30.53028
TCN_R2,TCN,R2,32,0.001,31649,1604.6,40.303644,30.018392
