model,architecture,regime,parameter_count,config_file,config_sha256,weight_file,weight_sha256,weight_bytes,prediction_file,prediction_sha256,inference_seconds,predictions_per_second
GRU_R0,GRU,R0,24065,results/models/neural/GRU_R0_config.json,98634e78e4a95684cdc2532cd9689120b2f621d0b2ea04e1db68979c18203f6b,results/models/neural/GRU_R0.safetensors,8e8087b5b1fb5cc47b1300b6e8499ef1a3a3b6839565a76b68368e2adf1a815c,96876,results/validation/predictions/GRU_R0_validation.npy,ffe821a4d45acd59f9de5b8aad923be56ca13c7dec5beeebaf75171a5f445970,19.3,21390.0
GRU_R1,GRU,R1,24641,results/models/neural/GRU_R1_config.json,0cc119982f02e0fb14de652d6158195cd667c8ad5a5799fdcb014ac7f756bb35,results/models/neural/GRU_R1.safetensors,37e0d900206a1a9e8d076fa5223fa614a41dbf8b0c7b905f4f34f4e4150b6dd7,99180,results/validation/predictions/GRU_R1_validation.npy,0770870125dc7c1bdfaf01e63025695a058f70e0417eae0499bd7d8c6172080a,19.5,21198.1
GRU_R2,GRU,R2,27521,results/models/neural/GRU_R2_config.json,1ca279b699f0a32b0f19c33cf56c492bda7a4335192cd60bfdc864ce40e98c9c,results/models/neural/GRU_R2.safetensors,8b014bff8524b7e3f60f73b17155db32961d41cd897c1a8f911414972e508412,110700,results/validation/predictions/GRU_R2_validation.npy,09729bb9e57d3c9d91ffcc42cce1b6594f44fc6729a938d0bf27a3a03a36ebb7,18.6,22204.5
TCN_R0,TCN,R0,29345,results/models/neural/TCN_R0_config.json,7a06504f39f353a7d80eab33a0f0f3c0be917e41bf531fcbbd036046d36a00cf,results/models/neural/TCN_R0.safetensors,8efa9621bb2c4d2c3a71a60fce3c87e6f13567b8ec0d9bc8c40de48b35147bfb,119276,results/validation/predictions/TCN_R0_validation.npy,228945e35cf6d768441cae71f40cd867fb0851db745b38530c4cbdf4fae20993,8.7,47391.7
TCN_R1,TCN,R1,29729,results/models/neural/TCN_R1_config.json,1b4843135bf5434ef55bf55b37609b8dcbf60143e9eb44e7816ba534b84d4cba,results/models/neural/TCN_R1.safetensors,16a68eb33fe8846290e1ecc137ce0c33f576237352a06daf8c1db89fea8c1796,120812,results/validation/predictions/TCN_R1_validation.npy,10a4c3ccd1c63ada649b117666b89b8d7888032e01ae839d5ef1b82e7b5e1c1c,8.8,47037.6
TCN_R2,TCN,R2,31649,results/models/neural/TCN_R2_config.json,ed8c313513fd75e7d1999900bff4aa0a94dda742eba1fa2f4d98d20c94b4aa6f,results/models/neural/TCN_R2.safetensors,903b35e704b18f976ab8492ace102cea4564a8a9d3e195122abbe00cb0ff381f,128492,results/validation/predictions/TCN_R2_validation.npy,8ddf4c658d4e1ce3055b2abe140ebb745b3050fdd02c63c4987ca496b9681428,9.4,43792.3
