model,regime,parameter_count,config_file,config_sha256,weight_file,weight_sha256,weight_bytes,prediction_file,prediction_sha256,prediction_dtype,inference_seconds,predictions_per_second
SA_R2,R2,144001,results/models/spatiotemporal/SA_R2_config.json,5eef311702708bb3a5439401a17fa754574424c818c1b9c92eba0eb757576a5a,results/models/spatiotemporal/SA_R2.safetensors,9d78281d4dc6a10c94b493df0b0c877dd8dc4f27fe73deba366f2f666cd3cabb,577156,results/validation/predictions/SA_R2_validation.npy,37c00a06324270b060c93a9ca97202515ae2397ce0c156ad4aef1bc8cfee2c66,float32,15.2,27095.8
SA_R3,R3,144001,results/models/spatiotemporal/SA_R3_config.json,e3354aec0325dc97ba136fc71d2b653bab2f21f7d40ec1e102ebd764e75cbbb4,results/models/spatiotemporal/SA_R3.safetensors,7280af5a34b618fddfddb715ed590483130719baab1f76ff7fd7bacf31e708c5,577156,results/validation/predictions/SA_R3_validation.npy,d1d4dcf4ed06437b5215fa97948d94e9c8cb46ffff7c2520fc30646ca22e87a0,float32,15.1,27288.9
