candidate_id,regime,hidden_size,learning_rate,parameter_count,internal_macro_station_horizon_MAE,internal_macro_RMSE,micro_MAE,micro_RMSE,training_seconds,inference_seconds
SA_C01,R2,64,0.0003,44289,43.921426,68.815139,43.93009,69.080698,189.9,8.1
SA_C01,R3,64,0.0003,44289,43.900381,69.407055,43.909587,69.669477,188.1,8.5
SA_C02,R2,64,0.001,44289,36.175108,52.943762,36.181375,55.348979,188.8,8.5
SA_C02,R3,64,0.001,44289,35.02837,52.132831,35.035742,54.261327,194.4,8.5
SA_C03,R2,128,0.0003,144001,38.063668,58.129646,38.070618,59.111895,385.2,15.6
SA_C03,R3,128,0.0003,144001,37.456143,57.257063,37.464212,58.161703,378.9,15.1
SA_C04,R2,128,0.001,144001,35.590454,52.902383,35.596436,55.784847,384.4,15.0
SA_C04,R3,128,0.001,144001,34.990239,52.791734,34.996835,54.893456,380.8,16.7
