model_a,model_b,model_a_lower_absolute_error_count,model_b_lower_absolute_error_count,tie_count,n,model_a_win_percent
M0,M1,3540,5121,0,8661,40.872878420505714
M0,M2,3301,5359,1,8661,38.113381826578916
M0,M3,3235,5426,0,8661,37.351345110264404
M1,M2,3877,4784,0,8661,44.763884078051035
M1,M3,3795,4866,0,8661,43.81711118808452
M2,M3,4038,4623,0,8661,46.622791825424315
