model,n,mean_abs_error,median_abs_error,std_abs_error,p75_abs_error,p90_abs_error,p95_abs_error,p99_abs_error,max_abs_error
M0,8661,65.417388292345,49.0,71.27472800612281,67.0,148.0,235.0,349.39999999999964,598.0
M1,8661,52.90019350167497,40.180161543980375,50.457616408020314,68.67481063715374,108.1126072167331,150.41645428623497,241.1515337490929,520.049184735476
M2,8661,51.24881350043206,35.37404580152672,55.475164620676445,65.48409893992931,118.01666666666668,163.75,270.3209809264304,515.5443786982248
M3,8661,48.53534138378168,34.21987867796539,50.82877695259396,62.73115356344074,109.56070377335661,153.12682810662628,240.38588122449352,504.7440358765781
