model,severe_threshold_source,severe_threshold_value,n_severe_hours,n,mae,rmse,mean_residual,median_residual,underprediction_percent,max_abs_error
M0,development_P95,282.0,512,512,293.990234375,302.22608013807314,293.990234375,275.0,100.0,598.0
M1,development_P95,282.0,512,512,194.6764432615238,206.80621224867974,194.6764432615238,180.71154048202948,100.0,520.049184735476
M2,development_P95,282.0,512,512,164.26020627981256,188.7335055183601,157.8388270730818,154.13717948717948,94.7265625,515.5443786982248
M3,development_P95,282.0,512,512,160.89739197606696,181.2151138259311,155.93859641114796,154.78727523663494,96.2890625,504.7440358765781
