feature,gain
origin_doy_sin,281300.3210258484
origin_doy_cos,229751.3338356018
PRES_w48_std,142139.80673599243
target_doy_cos,139113.57719039917
target_doy_sin,90746.02355957031
TEMP_w48_std,88532.42280197144
TEMP_w24_max,87552.16418457031
TEMP_w48_min,82856.98091506958
DEWP_w48_min,68297.5030708313
DEWP_w48_max,62122.72247314453
DEWP_lag47,61459.71838378906
TEMP_w48_max,60396.18166351318
PRES_w48_min,60099.399154663086
WSPM_w3_max,58623.17414855957
WSPM_w24_max,53009.39358520508
PRES_w24_std,50481.992904663086
TEMP_w24_std,48729.09588623047
DEWP_w24_min,45789.05118179321
PRES_w24_min,44204.521617889404
DEWP_w48_mean,44191.20266723633
DEWP_w48_std,43369.07704162598
TEMP_w48_mean,42438.901306152344
WSPM_w6_max,40208.016902923584
PRES_w48_max,39971.794021606445
RAIN_w48_mean,36028.121002197266
DEWP_w12_min,35807.94884490967
origin_month_sin,35292.191802978516
DEWP_lag0,33857.65533828735
PRES_lag47,33418.60931777954
TEMP_w24_min,32527.972522735596
PRES_w12_min,32180.35121536255
rain_occurred_w48_mean,31453.086250305176
WSPM_w12_max,30004.075019836426
DEWP_w24_std,28566.607917785645
TEMP_w24_mean,26780.252773284912
DEWP_lag24,26449.685413360596
DEWP_w3_min,24777.907608032227
origin_hour_cos,23875.638076782227
WSPM_w48_mean,20714.490524291992
DEWP_w6_min,18911.588207244873
WSPM_w48_max,18330.620532989502
DEWP_w24_mean,18152.7364654541
WSPM_lag0,17106.770320892334
origin_month_cos,16988.86930847168
PRES_w12_std,15924.69607925415
DEWP_w24_max,15380.158020019531
RAIN_w48_std,15274.077457427979
TEMP_w12_max,15057.854717254639
WSPM_w24_mean,14999.223526000977
PRES_w6_min,14976.482963562012
DEWP_w12_std,14613.902397155762
wd_is_SW,13188.369873046875
PRES_w3_min,13112.500484466553
target_month_sin,12507.419822692871
WSPM_w48_std,11925.339469909668
PRES_lag0,11771.498588562012
PRES_w12_max,11731.70248413086
PRES_w24_max,11341.54916381836
TEMP_w12_std,11158.236976623535
PRES_w3_max,10525.622428894043
origin_hour_sin,10315.538761138916
PRES_lag24,10198.19845199585
TEMP_w12_min,9995.059497833252
PRES_w3_std,9516.209060668945
PRES_lag12,9271.27838897705
PRES_w6_max,9108.970252990723
TEMP_lag47,8800.591159820557
target_month_cos,8549.625038146973
PRES_w48_mean,8539.855926513672
DEWP_w12_mean,8254.298873901367
WSPM_w3_mean,7855.773735046387
TEMP_w6_min,7732.277038574219
rain_occurred_w24_mean,7344.712181091309
RAIN_w48_max,7131.385719299316
wd_is_SSW,6861.411285400391
DEWP_lag12,6594.3201904296875
TEMP_lag12,6423.4262771606445
RAIN_w12_mean,6301.772075653076
DEWP_w12_max,6166.861404418945
TEMP_lag0,5846.247032165527
TEMP_lag24,5772.87398147583
RAIN_w24_mean,5482.252304077148
TEMP_lag6,5357.158027648926
PRES_w24_mean,5329.834365844727
station_is_Dingling,5103.081413269043
WSPM_w24_std,5025.6281661987305
WSPM_w24_min,4952.811599731445
DEWP_w3_std,4678.020408630371
DEWP_w6_std,4558.975635528564
DEWP_w6_max,4242.068992614746
DEWP_w3_max,4046.0393867492676
TEMP_w6_max,3953.7182846069336
station_is_Shunyi,3873.6814727783203
station_is_Huairou,3636.297119140625
PRES_w12_mean,3369.7063217163086
wd_is_NNW,3314.6452026367188
RAIN_w24_std,3306.299961090088
rain_occurred_w12_mean,3196.4758911132812
WSPM_w12_min,3186.5891304016113
DEWP_lag6,3168.0253829956055
wd_is_NW,3119.852996826172
DEWP_w6_mean,2971.820411682129
TEMP_w3_min,2957.333297729492
TEMP_w12_mean,2936.920612335205
TEMP_w3_max,2845.3822326660156
PRES_w3_mean,2799.361747741699
PRES_w6_std,2755.489284515381
WSPM_w48_min,2525.9208984375
DEWP_w3_mean,2331.876998901367
wd_is_S,2171.1828231811523
TEMP_w6_std,2163.362316131592
RAIN_w12_std,1875.4980087280273
station_is_Gucheng,1843.9632034301758
TEMP_w6_mean,1778.5003204345703
WSPM_lag24,1696.995792388916
TEMP_observed_frac_48h,1460.9595184326172
wd_is_SSE,1455.1720886230469
PRES_lag2,1313.1081047058105
WSPM_observed_frac_48h,1272.8316116333008
wd_is_WNW,1056.3169860839844
station_is_Wanshouxigong,989.1102905273438
PRES_lag1,960.6752014160156
WSPM_w6_mean,904.5743026733398
PRES_w6_mean,898.427188873291
RAIN_w24_max,886.9110946655273
PRES_observed_frac_48h,833.8700103759766
TEMP_lag2,830.4353103637695
wd_is_NNE,814.3090057373047
RAIN_w6_min,809.5906982421875
