feature,gain
PM2.5_lag0,3727722.259206295
PM10_lag0,53753.738538742065
DEWP_w3_std,33193.76793193817
DEWP_lag0,26294.73774576187
PM10_lag1,24349.551432609558
PM2.5_lag1,21057.326644420624
CO_lag0,17013.844040870667
CO_lag1,12844.385174751282
NO2_lag0,12258.010461807251
DEWP_w6_std,9820.332734107971
origin_hour_sin,9769.94626712799
WSPM_w3_mean,9618.073848724365
PM10_w3_std,8543.617902755737
origin_hour_cos,8507.046786308289
target_hour_sin,8346.21328496933
TEMP_w3_std,8185.121602535248
PM2.5_w3_max,8078.5366468429565
DEWP_lag3,7349.456876754761
DEWP_lag2,7295.152283668518
WSPM_w3_max,7155.554853439331
TEMP_w6_std,6907.428860664368
TEMP_lag12,6654.947341918945
PM2.5_w3_min,6379.061336517334
origin_doy_sin,6119.451607704163
PM2.5_w3_std,6112.724303245544
WSPM_lag0,5642.415689468384
WSPM_lag1,5500.639757156372
NO2_lag1,5390.680784225464
SO2_lag0,5345.302691459656
PRES_w48_std,4633.739608764648
PM10_lag2,4409.930651664734
TEMP_w12_std,4260.351303100586
TEMP_w48_std,3956.9010343551636
DEWP_lag6,3772.2899951934814
TEMP_w24_std,3715.273371696472
CO_w3_std,3693.607873916626
PRES_w24_std,3690.1898527145386
PM2.5_w24_mean,3572.4544019699097
WSPM_w3_std,3553.602297782898
PM2.5_w12_min,3552.4553594589233
PRES_w12_std,3529.973292350769
O3_w3_max,3343.404007911682
DEWP_w12_std,3239.4947452545166
PM10_lag3,3182.7253799438477
PM2.5_w3_mean,3170.47430229187
PM2.5_lag3,3089.057005882263
PRES_lag47,3031.709108352661
origin_doy_cos,3006.0577249526978
NO2_w3_std,2995.3313064575195
O3_lag2,2965.989610671997
PM2.5_lag12,2912.5744581222534
DEWP_w24_std,2846.004035949707
PRES_w6_std,2799.4925470352173
O3_lag1,2711.62659740448
TEMP_lag6,2686.6391229629517
DEWP_w48_mean,2670.7810649871826
DEWP_w48_std,2530.7651290893555
target_doy_sin,2492.766607284546
PM2.5_lag2,2478.690499305725
O3_lag0,2471.950677871704
PM2.5_observed_at_origin,2436.2344064712524
DEWP_lag47,2409.7585077285767
PRES_lag12,2405.4304151535034
WSPM_w6_std,2377.8335947990417
PM2.5_lag24,2336.103400707245
PM10_w6_max,2312.3183698654175
target_hour_cos,2278.4082040786743
PM2.5_w6_mean,2272.3848991394043
PRES_w3_std,2241.3507528305054
DEWP_lag1,2203.6427884101868
O3_w3_std,2190.17631816864
TEMP_lag0,2181.34520816803
CO_w6_std,2175.4248061180115
O3_lag3,2077.149694442749
PRES_lag24,1958.7338705062866
TEMP_lag47,1951.1561946868896
PM10_w3_max,1937.2497034072876
TEMP_lag24,1934.277729511261
PM2.5_lag6,1907.2905464172363
CO_lag2,1898.0407791137695
DEWP_lag24,1887.036955833435
RAIN_lag1,1885.156198501587
DEWP_w48_max,1874.9836921691895
DEWP_w48_min,1870.539319038391
WSPM_w12_mean,1860.3478660583496
PM2.5_w6_std,1811.4893879890442
O3_lag47,1780.85276222229
O3_w48_mean,1776.5071334838867
TEMP_w48_min,1760.593192100525
CO_w12_std,1754.653130531311
station_is_Dongsi,1745.6455059051514
O3_w6_max,1744.1377668380737
WSPM_w6_mean,1739.8588027954102
NO2_w6_std,1731.2305421829224
PM2.5_w48_std,1713.2755727767944
PM2.5_w24_min,1707.141589164734
WSPM_w6_max,1706.9330015182495
PM2.5_w48_max,1673.8924808502197
O3_lag24,1672.8837070465088
WSPM_w12_std,1640.8728685379028
SO2_lag1,1625.7991037368774
PM2.5_w12_mean,1620.2824635505676
wd_is_SW,1609.4606161117554
DEWP_w12_max,1589.85360622406
PM2.5_w48_mean,1582.268298149109
PM10_w6_std,1575.182593345642
TEMP_w48_max,1564.087697982788
DEWP_w24_mean,1559.4028053283691
PM10_w3_min,1546.0029945373535
PM2.5_lag47,1540.0687036514282
TEMP_w12_mean,1522.8684005737305
PM2.5_w12_std,1515.5182962417603
PM2.5_w6_max,1514.755298614502
NO2_lag47,1502.968518257141
NO2_lag24,1493.8079977035522
PRES_lag0,1467.307888507843
TEMP_lag1,1461.7237424850464
