feature,gain
PM2.5_lag0,1189522.3383216858
origin_hour_cos,112244.90531921387
origin_doy_sin,106930.78885269165
target_doy_sin,94233.3643989563
origin_doy_cos,89627.95121002197
PRES_w48_std,83288.98836517334
target_doy_cos,74803.28287506104
TEMP_w24_std,55164.85359954834
PM2.5_w12_min,54666.37438583374
TEMP_w48_std,48232.71889877319
DEWP_lag47,45336.571422576904
DEWP_w3_std,41047.02443695068
WSPM_lag0,37585.71798324585
TEMP_w24_max,32759.9750289917
DEWP_w48_std,28997.470600128174
PRES_lag47,28614.422332763672
PRES_w24_std,28605.432540893555
DEWP_w48_min,26805.392127990723
TEMP_w48_mean,26390.505088806152
WSPM_w6_mean,26241.193725585938
TEMP_w48_max,25894.34376525879
PM2.5_w12_mean,24361.125381469727
DEWP_lag24,23379.786026000977
PM2.5_w48_max,23355.62121963501
DEWP_w24_min,23039.411151885986
PRES_w12_std,22643.993621826172
WSPM_w3_mean,22625.908630371094
PRES_lag12,22594.43069076538
PM2.5_w48_mean,21935.86996459961
DEWP_w48_mean,21673.979820251465
PM2.5_w48_std,21297.021907806396
WSPM_w12_std,19524.396160125732
DEWP_w12_std,19254.91007232666
PRES_w24_min,19206.792205810547
wd_is_SW,19091.447998046875
TEMP_w24_min,18548.99680328369
PM2.5_lag47,18141.49774169922
TEMP_w24_mean,18090.324966430664
DEWP_lag0,17534.97254562378
DEWP_w6_std,16396.344535827637
PRES_w48_min,16328.916297912598
TEMP_w48_min,16325.024509429932
DEWP_w48_max,15966.988834381104
PM2.5_lag12,15843.302295684814
TEMP_lag47,15434.117645263672
TEMP_w12_min,15347.001140594482
PM2.5_w6_min,14969.218692779541
WSPM_w12_max,14880.263042449951
PM2.5_lag24,14628.205757141113
PRES_w12_min,14499.916362762451
TEMP_lag24,13961.028591156006
WSPM_w6_max,13920.080280303955
WSPM_w3_max,13652.540782928467
PM2.5_w3_min,13261.416137695312
TEMP_lag12,12489.986709594727
PRES_w6_min,12350.216312408447
PRES_lag6,12212.933712005615
PM2.5_w24_min,11767.23119354248
PM2.5_w24_mean,11665.916996002197
TEMP_lag6,11611.987297058105
TEMP_w12_max,11207.41402053833
DEWP_w24_max,11185.433052062988
TEMP_w12_mean,10946.267379760742
DEWP_w24_std,10864.575595855713
wd_is_NW,10356.677375793457
PRES_w3_std,10351.461929321289
DEWP_w12_min,10203.834018707275
origin_month_sin,9419.385326385498
rain_occurred_w48_mean,9341.215019226074
TEMP_w3_std,9121.837657928467
DEWP_w24_mean,9113.564361572266
WSPM_w6_std,9093.282127380371
PRES_w6_std,8951.631072998047
PM2.5_w12_max,8793.915409088135
PM2.5_w48_min,8642.73830795288
rain_occurred_w24_mean,8565.815280914307
PRES_w48_max,8561.341163635254
PRES_w12_max,8509.54556274414
wd_is_SSW,8461.366920471191
origin_hour_sin,8400.885189056396
WSPM_w3_std,8313.079792022705
PM2.5_w3_mean,7843.501811981201
station_is_Huairou,7788.645088195801
target_month_sin,7697.322151184082
PRES_lag24,7668.538486480713
TEMP_w6_min,7045.511619567871
WSPM_w48_max,6689.547885894775
