feature,gain
DEWP_lag0,376566.54666519165
WSPM_w12_max,333064.8138580322
origin_doy_sin,235175.62237739563
target_doy_sin,227424.35643959045
WSPM_w24_max,205927.3454055786
WSPM_w3_max,170119.93120765686
origin_doy_cos,162774.06798744202
DEWP_lag47,119595.79812049866
target_doy_cos,119105.83761024475
origin_hour_sin,113791.79902267456
DEWP_w12_std,109607.88732528687
DEWP_w24_std,107800.58799743652
PRES_w48_std,90335.38617134094
TEMP_w24_std,84356.1219997406
WSPM_lag0,82592.43711280823
TEMP_w48_max,76617.05301856995
PRES_w48_min,70812.8007183075
TEMP_w48_min,67688.24799156189
DEWP_w48_max,64158.344551086426
DEWP_w3_min,60746.37600135803
PRES_lag0,55099.18342971802
TEMP_w48_std,53924.89437675476
TEMP_w48_mean,53536.406076431274
DEWP_w48_min,52607.43558502197
PRES_w24_std,52165.68903923035
DEWP_w6_std,51779.985692977905
WSPM_w24_std,50749.22886657715
WSPM_w6_max,47391.69711112976
PRES_lag47,41340.19326400757
WSPM_w24_mean,40181.47845649719
DEWP_w48_std,39705.60430908203
RAIN_w48_mean,39638.15595817566
TEMP_lag12,39285.009353637695
TEMP_w24_min,38609.44797897339
rain_occurred_w48_mean,37809.96432876587
TEMP_w24_max,37327.665674209595
WSPM_w48_max,36793.141399383545
DEWP_w6_min,36554.8549156189
DEWP_w3_std,35585.78084945679
wd_is_SW,33248.99473953247
TEMP_w24_mean,33179.85982131958
DEWP_w24_min,33149.71788978577
PRES_w12_std,31003.93511390686
RAIN_w48_std,30471.249111175537
DEWP_w48_mean,29745.4453125
DEWP_w12_min,28959.367778778076
origin_hour_cos,27700.73556137085
DEWP_lag24,24467.255809783936
TEMP_lag47,24075.327545166016
TEMP_w3_std,23187.621068954468
PRES_w48_max,23141.939079284668
station_is_Huairou,21500.921604156494
wd_is_SSW,21028.861972808838
TEMP_w12_std,20983.115747451782
TEMP_w6_min,20845.353443145752
TEMP_w12_min,20728.731578826904
WSPM_w48_std,20422.71817779541
WSPM_w12_mean,20157.96416091919
wd_is_WSW,19181.44634246826
origin_month_cos,19155.05078125
WSPM_w48_mean,18977.109197616577
RAIN_w24_std,18484.29552078247
