feature,gain
PM2.5_lag0,311904.1554222107
origin_doy_sin,250124.10862731934
origin_doy_cos,229290.37432479858
target_doy_cos,134791.49618148804
PRES_w48_std,131368.22134780884
target_doy_sin,94683.47813034058
TEMP_w24_max,84593.92501449585
TEMP_w48_min,71374.7440109253
TEMP_w48_std,65288.25732040405
TEMP_w24_std,57354.44256591797
DEWP_w48_min,57018.703552246094
TEMP_w48_max,49309.948680877686
PRES_w6_min,46774.09782409668
DEWP_lag47,45955.52717208862
DEWP_w48_max,43148.683559417725
DEWP_w48_std,42714.042514801025
PRES_w24_std,42166.02367401123
TEMP_w48_mean,41987.83196258545
PM2.5_w48_mean,40509.21808242798
origin_month_cos,34860.13145446777
PRES_lag47,34516.10781097412
DEWP_w48_mean,33780.84132003784
PM2.5_w48_min,33637.185092926025
TEMP_w24_mean,32888.83751296997
PRES_w48_max,32366.9418258667
PM2.5_lag47,31531.76167678833
PM2.5_w24_mean,30013.985111236572
PRES_w12_min,29196.35594177246
DEWP_w24_min,29148.37477493286
PM2.5_w24_min,29016.294761657715
PRES_w48_min,28859.682987213135
TEMP_w24_min,28265.853931427002
PM2.5_w48_std,27677.198013305664
PRES_w24_min,27069.033336639404
PM2.5_w24_max,25867.383136749268
WSPM_w3_max,23862.314403533936
PM2.5_w12_min,20889.531841278076
rain_occurred_w48_mean,20693.305446624756
DEWP_w24_max,20217.92679977417
WSPM_lag0,20107.519332885742
PM2.5_w48_max,19611.52151107788
PM2.5_w24_std,18013.014694213867
WSPM_w3_mean,17585.46830368042
DEWP_lag24,17272.781410217285
WSPM_w24_max,16863.750411987305
DEWP_w12_min,15641.503463745117
TEMP_w12_max,15542.202487945557
PRES_w3_min,15341.110092163086
DEWP_w24_std,15174.353408813477
origin_hour_cos,15158.458660125732
DEWP_w24_mean,14928.631042480469
PM2.5_w3_min,14926.24568939209
PRES_w12_max,14603.860431671143
RAIN_w48_mean,14313.482147216797
origin_month_sin,13294.937831878662
RAIN_w48_std,12526.324493408203
PRES_w3_std,12326.60408782959
PRES_lag0,12064.625408172607
WSPM_w48_mean,12026.029983520508
PRES_w12_std,11236.542594909668
TEMP_lag47,10847.954360961914
DEWP_w6_min,10515.4654006958
PM2.5_lag24,10366.177814483643
TEMP_lag0,10250.241188049316
TEMP_w12_min,10189.269264221191
TEMP_w12_std,10113.328605651855
target_month_sin,8863.522048950195
WSPM_w48_max,8631.707866668701
DEWP_lag12,8442.174507141113
PRES_lag24,8389.034076690674
DEWP_w12_max,8241.546203613281
WSPM_w48_std,7845.087554931641
DEWP_w12_mean,7826.90380859375
PM2.5_lag12,7796.5994300842285
TEMP_lag12,7732.196327209473
target_month_cos,7657.606826782227
PRES_w24_max,7426.634952545166
DEWP_lag0,7216.602882385254
PM2.5_w12_max,7006.222343444824
DEWP_w12_std,6956.60338973999
DEWP_w6_std,6902.378608703613
WSPM_w24_mean,6413.092628479004
TEMP_lag24,6394.536193847656
WSPM_w6_max,6115.230842590332
origin_hour_sin,6093.840965270996
PM2.5_w3_max,5794.767547607422
PM2.5_w3_mean,5715.672882080078
PM2.5_observed_frac_48h,5620.111305236816
rain_occurred_w24_mean,5490.460823059082
PM2.5_w12_mean,5466.516052246094
DEWP_w3_min,5434.00651550293
DEWP_w3_std,5228.573333740234
PRES_w48_mean,4878.867324829102
PRES_w6_std,4551.334915161133
PRES_w3_max,4405.791839599609
PM2.5_w6_min,4394.211326599121
WSPM_w6_std,4295.546966552734
TEMP_w6_max,4214.054588317871
PM2.5_w6_max,3744.4851837158203
WSPM_w24_min,3610.108818054199
WSPM_w24_std,3584.745220184326
PRES_w3_mean,3466.2044715881348
DEWP_w6_mean,3418.70841217041
PRES_w6_max,3395.8372802734375
WSPM_w12_max,3388.362590789795
RAIN_w48_max,3382.8416061401367
PRES_lag12,3285.5075912475586
RAIN_w24_mean,3179.2409057617188
TEMP_w3_min,3139.7832946777344
TEMP_w3_max,2986.9227905273438
PRES_w12_mean,2978.8640365600586
RAIN_w12_mean,2723.2765045166016
station_is_Huairou,2712.337226867676
RAIN_w24_std,2705.467685699463
station_is_Dingling,2562.80770111084
DEWP_w6_max,2554.4477615356445
station_is_Shunyi,2479.1571044921875
WSPM_w6_mean,2477.9820098876953
rain_occurred_w12_mean,2419.5700073242188
TEMP_w6_min,2362.655075073242
TEMP_lag6,2297.5546875
RAIN_w24_max,2186.678119659424
TEMP_w12_mean,2184.878620147705
PRES_w24_mean,2168.742805480957
RAIN_w12_std,2126.6620025634766
PM2.5_w12_std,2051.281509399414
TEMP_w6_std,1965.378890991211
station_is_Gucheng,1962.804214477539
DEWP_w3_mean,1927.0420989990234
DEWP_w3_max,1548.7139892578125
TEMP_observed_frac_48h,1533.9850006103516
PRES_lag3,1527.897804260254
WSPM_w12_std,1495.5236854553223
wd_is_SW,1465.531005859375
TEMP_lag2,1441.109001159668
PM2.5_lag6,1397.6528930664062
PRES_w6_mean,1365.4824829101562
RAIN_w12_max,1346.0317001342773
PRES_lag2,1300.6893882751465
PM2.5_w6_mean,1267.2987174987793
WSPM_lag24,1090.1376762390137
wd_is_NNW,1057.4989852905273
WSPM_w12_min,1048.6709060668945
WSPM_w12_mean,1042.7955017089844
wd_is_SSW,1029.056812286377
station_is_Wanshouxigong,978.5762023925781
WSPM_w48_min,969.0703887939453
PM2.5_w6_std,956.9889984130859
wd_is_NW,940.1277923583984
TEMP_lag3,904.7372055053711
RAIN_lag24,809.4577178955078
TEMP_w6_mean,768.7486114501953
wd_is_S,763.0759048461914
RAIN_w3_std,758.2619934082031
DEWP_lag2,741.2221908569336
RAIN_w6_mean,737.9610137939453
PM2.5_observed_frac_24h,727.4903106689453
PRES_lag1,715.4040069580078
PM2.5_lag3,689.0096893310547
PRES_observed_frac_48h,607.0649871826172
DEWP_lag6,585.4707107543945
WSPM_w6_min,559.5915145874023
PRES_lag6,537.5448913574219
station_is_Wanliu,525.9170074462891
WSPM_w3_min,507.5650978088379
TEMP_w3_mean,425.622013092041
wd_is_SSE,382.5491027832031
TEMP_lag1,347.6228942871094
WSPM_observed_frac_48h,278.61840057373047
RAIN_lag0,230.55499267578125
rain_occurred_w6_mean,175.802001953125
RAIN_w6_std,111.86199951171875
PM2.5_lag2,108.36799621582031
DEWP_lag1,75.05130004882812
WSPM_lag12,64.02909851074219
wd_is_NNE,55.94729995727539
wd_is_N,54.86029815673828
DEWP_lag3,0.0
DEWP_observed_at_origin,0.0
DEWP_observed_frac_24h,0.0
DEWP_observed_frac_48h,0.0
DEWP_observed_frac_6h,0.0
PM2.5_gap_age_at_origin,0.0
PM2.5_lag1,0.0
PM2.5_observed_at_origin,0.0
PM2.5_observed_frac_6h,0.0
PM2.5_w3_std,0.0
PRES_observed_at_origin,0.0
PRES_observed_frac_24h,0.0
PRES_observed_frac_6h,0.0
RAIN_lag1,0.0
RAIN_lag12,0.0
RAIN_lag2,0.0
RAIN_lag3,0.0
RAIN_lag47,0.0
RAIN_lag6,0.0
RAIN_observed_at_origin,0.0
RAIN_observed_frac_24h,0.0
RAIN_observed_frac_48h,0.0
RAIN_observed_frac_6h,0.0
RAIN_w12_min,0.0
RAIN_w24_min,0.0
RAIN_w3_max,0.0
RAIN_w3_mean,0.0
RAIN_w3_min,0.0
RAIN_w48_min,0.0
RAIN_w6_max,0.0
RAIN_w6_min,0.0
TEMP_observed_at_origin,0.0
TEMP_observed_frac_24h,0.0
TEMP_observed_frac_6h,0.0
TEMP_w3_std,0.0
WSPM_lag1,0.0
WSPM_lag2,0.0
WSPM_lag3,0.0
WSPM_lag47,0.0
WSPM_lag6,0.0
WSPM_observed_at_origin,0.0
WSPM_observed_frac_24h,0.0
WSPM_observed_frac_6h,0.0
WSPM_w3_std,0.0
rain_occurred_at_origin,0.0
rain_occurred_w3_mean,0.0
station_is_Aotizhongxin,0.0
station_is_Changping,0.0
station_is_Dongsi,0.0
station_is_Guanyuan,0.0
station_is_Nongzhanguan,0.0
station_is_Tiantan,0.0
target_hour_cos,0.0
target_hour_sin,0.0
wd_is_E,0.0
wd_is_ENE,0.0
wd_is_ESE,0.0
wd_is_MISSING,0.0
wd_is_NE,0.0
wd_is_SE,0.0
wd_is_W,0.0
wd_is_WNW,0.0
wd_is_WSW,0.0
