feature,gain
DEWP_lag0,434537.5252304077
WSPM_w24_max,418348.82525253296
origin_doy_sin,307778.25545692444
WSPM_w12_mean,257637.39926719666
target_doy_sin,238277.86985588074
DEWP_w3_min,232863.38743019104
origin_doy_cos,176482.7019920349
DEWP_w24_std,171082.43681144714
DEWP_lag47,167856.56916427612
DEWP_lag1,167281.85181236267
WSPM_w12_max,165522.19460487366
WSPM_w24_std,161486.3795452118
DEWP_w12_std,142807.6512813568
DEWP_w48_max,138932.3642616272
TEMP_w24_std,107622.5068359375
target_doy_cos,107293.43193435669
TEMP_w48_max,102510.41892814636
TEMP_w48_min,100450.5071773529
DEWP_w3_max,99570.99964904785
PRES_w48_std,91854.78278541565
TEMP_w48_mean,83907.77578163147
DEWP_w48_min,78282.18910598755
PRES_w48_min,72794.82531356812
rain_occurred_w48_mean,70798.02456665039
DEWP_w6_min,57424.82825469971
DEWP_w3_mean,53292.413555145264
TEMP_w24_max,51811.37215614319
TEMP_w24_min,51279.93497657776
WSPM_w6_mean,51169.411056518555
WSPM_w24_mean,50746.36264419556
TEMP_w48_std,49988.335357666016
DEWP_w48_std,49448.36782836914
DEWP_w48_mean,49169.63137435913
PRES_lag47,46492.8348865509
RAIN_w48_mean,45854.42984199524
PRES_w24_std,41506.29872703552
DEWP_lag24,41080.26733779907
DEWP_w24_min,36389.63014984131
target_hour_cos,35505.44214248657
PRES_w48_max,32869.88982772827
WSPM_w48_max,32485.87243080139
WSPM_w48_mean,30858.980361938477
origin_month_cos,30259.873207092285
origin_hour_sin,29519.43137359619
station_is_Huairou,28898.619159698486
TEMP_lag47,28250.902297973633
TEMP_w12_std,28068.536737442017
TEMP_w24_mean,27893.3429145813
target_hour_sin,27777.668384552002
WSPM_w3_mean,27532.185695648193
DEWP_w6_std,27440.27561378479
WSPM_w48_std,27035.132068634033
rain_occurred_w12_mean,26200.182781219482
RAIN_w24_std,24961.554626464844
TEMP_w12_max,24641.35577774048
PRES_w6_max,24577.65444946289
RAIN_w24_mean,23215.658317565918
DEWP_w12_min,22866.837364196777
RAIN_w48_std,22812.699716567993
PRES_w12_std,22724.805391311646
target_month_cos,22544.31791305542
PRES_lag24,21210.054983139038
PRES_w24_min,19348.55273246765
origin_month_sin,18181.980808258057
PRES_w48_mean,17844.943880081177
TEMP_w12_min,17513.848012924194
rain_occurred_w24_mean,17451.4645652771
PRES_w3_max,17332.772274017334
DEWP_w6_max,15948.799909591675
WSPM_w6_max,15345.765197753906
PRES_lag0,14984.210597991943
RAIN_w48_max,14876.671649932861
DEWP_w24_max,14073.833738327026
PRES_lag12,13728.191360473633
RAIN_w12_mean,13102.329355239868
WSPM_w48_min,12911.453937530518
TEMP_lag0,12202.599208831787
PRES_w6_min,11760.918746948242
PRES_w24_max,11572.347221374512
DEWP_w24_mean,11542.44479560852
WSPM_w3_max,11077.432653427124
station_is_Dingling,11055.950099945068
TEMP_w6_min,10909.121662139893
DEWP_w12_max,10840.958421707153
wd_is_SW,10802.351928710938
PRES_w3_min,9979.702102661133
station_is_Nongzhanguan,9965.177837371826
TEMP_w6_std,9862.791522979736
DEWP_lag12,9783.18754196167
origin_hour_cos,9579.776079177856
station_is_Dongsi,9509.40746307373
TEMP_lag6,9381.401336669922
wd_is_WSW,9274.189514160156
TEMP_w3_min,9049.044536590576
TEMP_w12_mean,8395.54811668396
TEMP_lag12,8033.892791748047
station_is_Gucheng,7469.65104675293
PRES_w6_std,6939.464117050171
station_is_Changping,6828.014780044556
PRES_w24_mean,6534.526048660278
PRES_w12_min,6481.949811935425
TEMP_lag24,6440.950901031494
DEWP_w6_mean,6185.662628173828
DEWP_w12_mean,6102.324440002441
TEMP_lag1,5495.383508682251
WSPM_w24_min,5430.258094787598
target_month_sin,5412.594375610352
station_is_Tiantan,5131.622989654541
WSPM_w12_min,4819.347587585449
TEMP_w6_max,4811.544815063477
wd_is_SSW,4713.677112579346
DEWP_lag2,4710.496770858765
PRES_w12_max,4292.866630554199
TEMP_w3_max,3967.770393371582
PRES_w3_mean,3685.2043895721436
DEWP_w3_std,3670.227195739746
station_is_Guanyuan,3591.4825191497803
RAIN_w6_mean,3264.388240814209
PRES_w12_mean,3238.5013179779053
WSPM_lag0,3180.0917949676514
TEMP_w3_std,3099.292709350586
RAIN_w12_std,2998.261894226074
RAIN_w12_max,2842.115409851074
PRES_lag6,2836.539863586426
station_is_Aotizhongxin,2827.702621459961
station_is_Shunyi,2628.0928993225098
rain_occurred_w6_mean,2572.0543251037598
RAIN_w24_max,2562.1863117218018
PRES_w6_mean,2461.582592010498
PRES_w3_std,2435.838613510132
wd_is_N,2417.3359756469727
wd_is_NW,2357.775493621826
station_is_Wanliu,2348.1146087646484
TEMP_w6_mean,2192.330909729004
wd_is_NNW,2175.39847946167
WSPM_w12_std,2086.796115875244
rain_occurred_w3_mean,1879.8820037841797
DEWP_lag6,1854.5342025756836
WSPM_w6_min,1804.3330974578857
RAIN_w6_max,1781.2946968078613
station_is_Wanshouxigong,1687.2453956604004
wd_is_NNE,1550.8168106079102
TEMP_w3_mean,1520.2846984863281
wd_is_S,1499.2809104919434
DEWP_lag3,1370.7865009307861
RAIN_w6_std,1307.7841186523438
WSPM_lag47,1289.0041847229004
PRES_lag3,1268.6089096069336
PRES_lag2,1201.3799171447754
wd_is_SSE,1152.8560943603516
TEMP_lag3,1146.1108894348145
wd_is_ESE,1144.8824157714844
RAIN_lag24,1045.4615898132324
WSPM_lag3,999.984302520752
RAIN_lag47,968.2766170501709
WSPM_w3_min,955.8209171295166
wd_is_SE,860.7238998413086
TEMP_lag2,850.8313064575195
PRES_lag1,845.4248886108398
RAIN_lag2,790.087703704834
wd_is_NE,640.7768936157227
wd_is_WNW,528.2033958435059
WSPM_w6_std,493.8587951660156
TEMP_observed_frac_48h,490.6096954345703
WSPM_lag2,413.78700256347656
RAIN_lag1,403.59129905700684
RAIN_w6_min,402.4616050720215
RAIN_lag12,392.04830169677734
RAIN_lag3,338.22760009765625
WSPM_lag12,332.17270278930664
RAIN_lag0,330.13200187683105
RAIN_observed_frac_48h,324.15979957580566
RAIN_w12_min,303.5377998352051
wd_is_ENE,235.01500701904297
WSPM_lag24,183.635498046875
WSPM_lag1,155.51370239257812
RAIN_w3_mean,144.4990005493164
WSPM_w3_std,129.46700286865234
TEMP_observed_frac_24h,127.27949905395508
WSPM_lag6,102.6259994506836
wd_is_E,84.57759857177734
RAIN_lag6,79.79440307617188
DEWP_observed_frac_48h,59.76750183105469
WSPM_observed_frac_48h,50.38420104980469
RAIN_w3_min,26.06130027770996
DEWP_observed_at_origin,0.0
DEWP_observed_frac_24h,0.0
DEWP_observed_frac_6h,0.0
PRES_observed_at_origin,0.0
PRES_observed_frac_24h,0.0
PRES_observed_frac_48h,0.0
PRES_observed_frac_6h,0.0
RAIN_observed_at_origin,0.0
RAIN_observed_frac_24h,0.0
RAIN_observed_frac_6h,0.0
RAIN_w24_min,0.0
RAIN_w3_max,0.0
RAIN_w3_std,0.0
RAIN_w48_min,0.0
TEMP_observed_at_origin,0.0
TEMP_observed_frac_6h,0.0
WSPM_observed_at_origin,0.0
WSPM_observed_frac_24h,0.0
WSPM_observed_frac_6h,0.0
rain_occurred_at_origin,0.0
wd_is_MISSING,0.0
wd_is_W,0.0
