feature,gain
PRES_w6_min,1739.4622764587402
TEMP_w6_mean,1733.4090881347656
PM10_lag47,1714.034797668457
PM10_w24_std,1689.2761917114258
TEMP_lag2,1679.3779029846191
wd_is_SSE,1660.3739013671875
SO2_w6_min,1638.7902565002441
DEWP_w12_min,1596.0249977111816
PM10_w12_mean,1594.953701019287
SO2_w3_mean,1583.4846153259277
NO2_w24_max,1538.9675025939941
O3_lag0,1536.9537162780762
O3_w6_max,1517.8870830535889
CO_lag47,1506.5119018554688
NO2_w48_min,1486.1681060791016
TEMP_lag1,1475.3984756469727
WSPM_w24_mean,1466.0777053833008
PM10_w6_mean,1426.7244033813477
CO_w3_max,1422.0007934570312
rain_occurred_w48_mean,1399.1377182006836
NO2_w48_std,1396.5770225524902
SO2_w24_min,1377.419692993164
CO_w12_max,1367.9016036987305
WSPM_w48_std,1366.5953979492188
PM2.5_w6_std,1349.8352947235107
station_is_Gucheng,1335.4226989746094
SO2_lag24,1334.5423011779785
SO2_w48_mean,1330.2532997131348
RAIN_w6_std,1315.5032043457031
NO2_w24_mean,1309.8618927001953
SO2_w6_std,1302.681297302246
PM10_w12_max,1272.8218879699707
WSPM_lag47,1262.518295288086
DEWP_w3_min,1260.813705444336
PM2.5_w3_std,1239.179801940918
wd_is_ENE,1232.8956985473633
NO2_w24_std,1226.1406135559082
TEMP_w6_min,1220.0480880737305
TEMP_w3_mean,1192.5857124328613
RAIN_w48_std,1174.3796882629395
PRES_w12_min,1160.004795074463
PM2.5_w12_std,1128.652400970459
PM10_w6_max,1119.854103088379
PM10_lag12,1107.2551879882812
DEWP_lag2,1101.262119293213
NO2_w12_std,1093.664810180664
SO2_w6_max,1071.575798034668
SO2_lag6,1070.8689193725586
rain_occurred_w3_mean,1067.7489929199219
RAIN_w48_max,1067.1839866638184
WSPM_lag6,1061.9227027893066
PM10_lag3,1058.783000946045
CO_lag0,1009.3661041259766
CO_w24_std,998.3780899047852
CO_w48_std,998.2277908325195
station_is_Shunyi,970.7843055725098
PM10_lag24,969.6890144348145
rain_occurred_w12_mean,961.6879119873047
WSPM_lag24,937.8254852294922
SO2_lag0,937.3542060852051
PM2.5_lag1,923.9961967468262
SO2_lag12,921.8570919036865
CO_w3_mean,921.4215927124023
O3_w48_min,897.3448085784912
NO2_lag47,889.4699935913086
O3_w24_min,876.4559097290039
PM10_w3_mean,871.5105018615723
