feature,gain
PM2.5_lag0,279621.0732421875
origin_doy_sin,237469.97285842896
origin_doy_cos,176606.06645584106
PRES_w48_std,122926.51623916626
target_doy_cos,108927.37411880493
target_doy_sin,81281.78887939453
TEMP_w48_min,62334.538650512695
TEMP_w48_std,62214.43230056763
TEMP_w24_max,57452.83791732788
PRES_w6_min,47165.10354614258
DEWP_w48_min,44855.54275894165
TEMP_w24_std,42741.52615737915
TEMP_w48_max,42178.57404708862
DEWP_w48_max,40711.56095504761
PRES_w24_std,38325.27579116821
DEWP_w48_std,35258.21273803711
DEWP_w48_mean,34203.067501068115
PRES_lag47,32892.54427719116
TEMP_w48_mean,32793.95642852783
PRES_w48_min,32610.827270507812
PRES_w12_min,31025.10634994507
DEWP_lag47,30444.709144592285
DEWP_w24_min,30042.971965789795
TEMP_w24_mean,29638.87014389038
TEMP_w24_min,28315.351654052734
PM2.5_lag47,27922.581176757812
PRES_w48_max,25576.564319610596
PM2.5_w48_mean,25486.733127593994
origin_month_cos,24581.62638092041
WSPM_w3_max,24540.260776519775
CO_lag0,24178.44482421875
SO2_w48_max,23860.544914245605
O3_w24_mean,23718.371826171875
PRES_w24_min,22818.415565490723
SO2_w48_std,21413.59873199463
WSPM_lag0,20345.591438293457
PM2.5_w24_max,20038.22315979004
PM2.5_w48_min,20030.31707763672
PM10_w48_min,19487.5520362854
PM2.5_w48_max,19296.19361114502
PM2.5_w24_min,18378.74006652832
PRES_w3_min,17892.01873397827
PM10_w48_std,17887.019367218018
rain_occurred_w48_mean,17835.679779052734
PM2.5_w48_std,17534.429218292236
O3_w24_max,17422.75392150879
DEWP_lag24,16312.895458221436
DEWP_w12_min,15361.304641723633
DEWP_w24_max,15360.217315673828
PM10_w24_min,15208.16608428955
WSPM_w3_mean,14904.652980804443
PM2.5_w24_std,14684.241340637207
CO_w24_mean,14080.943801879883
CO_w48_mean,13558.78821182251
origin_hour_cos,13057.393165588379
TEMP_w12_max,12330.828468322754
PM2.5_w12_min,12104.082023620605
PM2.5_w24_mean,12017.460006713867
RAIN_w48_mean,11637.976921081543
WSPM_w24_max,11372.851665496826
PM10_w3_min,11090.745330810547
O3_w24_std,10713.561172485352
DEWP_w24_std,10664.985473632812
origin_month_sin,10253.891677856445
DEWP_lag12,9665.877716064453
TEMP_w12_min,9665.031829833984
PM2.5_w3_min,9618.555740356445
O3_w12_max,9456.377563476562
WSPM_w48_mean,9202.140319824219
PRES_w3_std,9192.616931915283
PRES_w12_std,9108.330879211426
PM10_w48_mean,8978.238651275635
PRES_w12_max,8946.210010528564
SO2_w12_mean,8943.540229797363
O3_w48_mean,8926.423053741455
TEMP_w12_std,8864.277862548828
DEWP_w12_max,8588.484272003174
SO2_w48_min,8522.205474853516
PRES_lag0,8087.729019165039
WSPM_w48_max,7953.242877960205
PRES_lag24,7913.340476989746
DEWP_w12_std,7707.324451446533
PRES_w24_max,7410.511363983154
O3_lag0,7397.795505523682
TEMP_lag0,7288.6506271362305
target_month_cos,7054.329933166504
DEWP_w24_mean,6671.317314147949
PM10_w24_max,6625.361396789551
SO2_w24_min,6539.394496917725
SO2_w48_mean,6520.812797546387
PM10_lag0,6284.413040161133
PM2.5_lag24,6236.511741638184
