architecture,candidate_id,regime,parameter_count,learning_rate,d_model,internal_macro_station_horizon_MAE,internal_macro_RMSE,micro_MAE,micro_RMSE,training_seconds,inference_seconds
iTransformer,IT_C01,R1,109121,0.0003,64,36.091144,53.347095,36.096996,56.504186,1803.9,14.6
iTransformer,IT_C02,R1,109121,0.001,64,35.29555,52.099313,35.300628,55.345353,1792.6,14.7
iTransformer,IT_C03,R1,412929,0.0003,128,36.629266,54.715657,36.634979,57.757774,3544.4,35.6
iTransformer,IT_C04,R1,412929,0.001,128,36.001112,53.65552,36.004685,57.153391,3457.5,35.1
iTransformer,IT_C01,R2,109121,0.0003,64,36.049144,53.657938,36.054639,56.868094,2915.3,22.4
iTransformer,IT_C02,R2,109121,0.001,64,35.279142,52.315985,35.283091,55.812808,3008.4,22.5
iTransformer,IT_C03,R2,412929,0.0003,128,36.184706,53.897561,36.189723,56.572335,5404.1,57.0
iTransformer,IT_C04,R2,412929,0.001,128,35.390072,52.309696,35.39458,55.61189,5311.9,53.5
