model,horizon_hours,target_hour,n,MAE,mean_residual,underprediction_rate_pct
GRU_R1,1,1,4301,14.405796,3.096971,46.338061
GRU_R1,1,2,4314,13.894757,2.577944,44.830783
GRU_R1,1,3,4289,13.401857,0.788213,42.737235
GRU_R1,1,4,4298,12.667798,0.018975,41.368078
GRU_R1,1,5,4305,12.459652,-0.318911,40.511034
GRU_R1,1,6,4301,11.670365,-0.691053,39.618693
GRU_R1,1,7,4296,10.836033,0.072751,44.040968
GRU_R1,1,8,4307,11.070608,1.710762,50.777804
GRU_R1,1,9,4302,11.137514,2.797592,53.67271
GRU_R1,1,10,4275,11.85346,3.236966,53.777778
GRU_R1,1,11,4218,12.00921,2.874047,52.513039
GRU_R1,1,12,4226,12.380375,3.486721,53.265499
GRU_R1,1,13,4230,13.190769,3.246718,52.340426
GRU_R1,1,14,4252,13.308965,1.684788,48.000941
GRU_R1,1,15,4240,13.259351,1.137138,45.683962
GRU_R1,1,16,4251,13.115728,1.799082,46.130322
GRU_R1,1,17,4276,13.012433,2.928904,47.240412
GRU_R1,1,18,4251,12.390675,3.138561,50.105857
GRU_R1,1,19,4299,13.406248,4.365219,52.198186
GRU_R1,1,20,4293,13.794201,4.046361,52.923364
GRU_R1,1,21,4305,13.300625,2.944554,52.171893
GRU_R1,1,22,4299,13.848669,2.998763,49.337055
GRU_R1,1,23,4318,14.059505,3.120284,49.606299
GRU_R1,6,0,4307,31.167092,1.837597,45.228697
GRU_R1,6,1,4301,31.782102,-0.59654,42.990002
GRU_R1,6,2,4314,30.79989,-2.576694,41.052388
GRU_R1,6,3,4289,30.445795,-4.12869,40.335743
GRU_R1,6,4,4298,28.742218,-5.044476,40.553746
GRU_R1,6,5,4305,27.482765,-5.317159,41.231127
GRU_R1,6,6,4301,27.088732,-5.551187,42.478493
GRU_R1,6,7,4296,26.007298,-5.182162,46.438547
GRU_R1,6,8,4307,26.315799,-3.165907,51.381472
GRU_R1,6,9,4302,26.328888,-0.749359,54.300325
GRU_R1,6,10,4275,27.051325,1.062546,54.245614
GRU_R1,6,11,4218,28.228231,2.249511,52.536747
GRU_R1,6,12,4226,28.333543,3.478855,50.591576
GRU_R1,6,13,4230,29.170954,3.07988,48.55792
GRU_R1,6,14,4252,29.750316,1.255292,44.285042
GRU_R1,6,15,4240,30.678333,-1.524648,40.801887
GRU_R1,6,16,4251,30.394814,-3.25327,39.567161
GRU_R1,6,17,4276,30.011994,-3.038684,39.19551
GRU_R1,6,18,4251,29.993067,-2.455951,39.708304
GRU_R1,6,19,4299,29.799809,0.156843,42.335427
GRU_R1,6,20,4293,30.21074,3.556484,46.843699
GRU_R1,6,21,4305,30.23995,5.218644,47.851336
GRU_R1,6,22,4299,30.857301,5.38813,47.52268
GRU_R1,6,23,4318,30.962014,4.140635,47.846225
GRU_R1,12,0,4307,43.400211,-0.42374,41.513815
GRU_R1,12,1,4301,43.223401,-0.98818,41.73448
GRU_R1,12,2,4314,41.681345,-0.711452,41.979601
GRU_R1,12,3,4289,39.939153,-1.468685,41.641408
GRU_R1,12,4,4298,37.925157,-2.435599,41.926477
GRU_R1,12,5,4305,36.920022,-4.108998,40.859466
GRU_R1,12,6,4301,36.567921,-6.272773,40.734713
GRU_R1,12,7,4296,36.137383,-7.790425,41.573557
GRU_R1,12,8,4307,35.936739,-6.653765,44.717901
GRU_R1,12,9,4302,35.830932,-4.074102,48.163645
GRU_R1,12,10,4275,36.485342,-2.097983,49.473684
GRU_R1,12,11,4218,37.805295,-1.225854,49.620673
GRU_R1,12,12,4226,38.615279,-0.300824,49.952674
GRU_R1,12,13,4230,38.547065,-0.784877,47.612293
GRU_R1,12,14,4252,38.660075,-2.065758,45.390405
GRU_R1,12,15,4240,38.811698,-3.928392,42.146226
GRU_R1,12,16,4251,39.080394,-4.764883,39.402494
GRU_R1,12,17,4276,38.988794,-4.109839,39.756782
GRU_R1,12,18,4251,39.354804,-2.461828,40.41402
GRU_R1,12,19,4299,40.540889,0.212614,41.660851
GRU_R1,12,20,4293,41.975421,1.87971,42.790589
GRU_R1,12,21,4305,42.153364,1.703121,42.880372
GRU_R1,12,22,4299,42.526115,0.798247,41.986508
GRU_R1,12,23,4318,43.279603,0.652516,42.751274
GRU_R1,24,0,4307,53.664269,-3.068667,43.67309
GRU_R1,24,1,4301,54.470145,-3.446252,42.920251
GRU_R1,24,2,4314,54.215616,-4.256007,42.744553
GRU_R1,24,3,4289,52.767995,-5.642186,42.270926
GRU_R1,24,4,4298,51.685212,-7.226939,41.926477
GRU_R1,24,5,4305,50.498809,-7.713323,39.60511
GRU_R1,24,6,4301,49.645931,-8.403401,39.130435
GRU_R1,24,7,4296,48.631861,-8.77165,39.1527
GRU_R1,24,8,4307,47.765666,-7.25469,40.794056
GRU_R1,24,9,4302,48.376448,-5.91411,43.189214
GRU_R1,24,10,4275,50.001534,-5.147847,43.602339
GRU_R1,24,11,4218,50.946167,-4.404792,45.211
GRU_R1,24,12,4226,50.363836,-3.830176,45.835305
GRU_R1,24,13,4230,50.056981,-4.295202,45.271868
GRU_R1,24,14,4252,49.533269,-4.227095,44.449671
GRU_R1,24,15,4240,49.301247,-4.81509,43.419811
GRU_R1,24,16,4251,48.933455,-5.344473,42.107739
GRU_R1,24,17,4276,49.495951,-5.783377,42.726848
GRU_R1,24,18,4251,50.590816,-5.858003,43.801458
GRU_R1,24,19,4299,50.997317,-4.856771,44.126541
GRU_R1,24,20,4293,51.600532,-3.851278,44.817144
GRU_R1,24,21,4305,51.557723,-3.182209,45.203252
GRU_R1,24,22,4299,52.057245,-3.293784,44.963945
GRU_R1,24,23,4318,52.724353,-2.919823,45.182955
B0,1,0,4307,10.11284,-0.697469,47.991642
B0,1,1,4301,10.437108,-0.702162,45.570797
B0,1,2,4314,9.811312,-1.651368,45.132128
B0,1,3,4289,10.332945,-3.16997,43.320121
B0,1,4,4298,9.843881,-2.797813,42.973476
B0,1,5,4305,9.166783,-2.487573,42.439024
B0,1,6,4301,9.086027,-2.534992,43.757266
B0,1,7,4296,8.765363,-1.352421,49.604283
B0,1,8,4307,9.401672,0.622011,54.353378
B0,1,9,4302,9.808461,1.081358,53.99814
B0,1,10,4275,10.414269,0.914854,53.169591
B0,1,11,4218,10.721432,0.364865,50.260787
B0,1,12,4226,10.684808,0.882631,51.703739
B0,1,13,4230,10.997872,0.645154,52.340426
B0,1,14,4252,10.997413,-0.796096,47.953904
B0,1,15,4240,10.791509,-1.048585,47.193396
B0,1,16,4251,10.342743,0.00447,49.564808
B0,1,17,4276,10.393592,1.650374,53.110384
B0,1,18,4251,9.922136,2.441073,56.080922
B0,1,19,4299,10.499884,4.089556,60.897883
B0,1,20,4293,11.430235,3.107384,60.866527
B0,1,21,4305,10.915912,1.140302,55.818815
B0,1,22,4299,11.156548,0.442894,51.290998
B0,1,23,4318,10.657943,0.177629,49.652617
B0,6,0,4307,33.713025,8.247968,61.876016
B0,6,1,4301,33.820274,3.401767,55.731225
B0,6,2,4314,32.511358,-1.233194,50.02318
B0,6,3,4289,31.73094,-5.578923,46.164607
B0,6,4,4298,30.272452,-8.808981,43.787808
B0,6,5,4305,30.256678,-11.444135,41.672474
B0,6,6,4301,31.077424,-13.207626,41.106719
B0,6,7,4296,31.274907,-14.012337,43.715084
B0,6,8,4307,32.162062,-11.683771,49.547249
B0,6,9,4302,31.007671,-7.531148,53.138075
B0,6,10,4275,30.141287,-3.832515,56.210526
B0,6,11,4218,30.754149,-1.137743,56.638217
B0,6,12,4226,30.725745,2.240653,57.856129
B0,6,13,4230,31.165721,3.991253,55.460993
B0,6,14,4252,31.905456,2.972248,52.375353
B0,6,15,4240,32.792453,0.85566,50.566038
B0,6,16,4251,31.960009,0.031992,51.658433
B0,6,17,4276,31.013798,1.219598,52.87652
B0,6,18,4251,30.985415,2.651376,55.610445
B0,6,19,4299,31.239823,6.223773,60.013957
B0,6,20,4293,32.660377,10.221989,64.314
B0,6,21,4305,33.658769,12.322648,66.457607
B0,6,22,4299,34.512212,12.647127,66.852756
B0,6,23,4318,34.562761,11.253821,64.775359
B0,12,0,4307,47.796378,10.857906,59.763176
B0,12,1,4301,47.853522,9.497791,59.265287
B0,12,2,4314,46.953176,8.747798,59.4344
B0,12,3,4289,45.688039,6.583819,59.058055
B0,12,4,4298,43.007911,3.774314,58.329456
B0,12,5,4305,41.282927,-0.240418,55.586527
B0,12,6,4301,40.772146,-5.066031,50.918391
B0,12,7,4296,41.286778,-10.506052,47.602421
B0,12,8,4307,42.441839,-13.062689,46.621779
B0,12,9,4302,42.982101,-13.073687,48.024175
B0,12,10,4275,42.761871,-12.498012,48.631579
B0,12,11,4218,44.104789,-12.527738,48.17449
B0,12,12,4226,44.584477,-11.06247,50.591576
B0,12,13,4230,45.085343,-10.245626,51.560284
B0,12,14,4252,44.535278,-8.812324,51.411101
B0,12,15,4240,43.454245,-6.884434,51.509434
B0,12,16,4251,42.189367,-3.963068,53.234533
B0,12,17,4276,41.492049,0.178204,54.747428
B0,12,18,4251,42.01976,5.018113,58.339214
B0,12,19,4299,43.300302,10.571761,60.26983
B0,12,20,4293,46.092709,13.093408,61.868157
B0,12,21,4305,46.731707,13.087108,61.55633
B0,12,22,4299,47.107699,12.449872,60.944406
B0,12,23,4318,47.7566,12.275359,60.328856
B0,24,0,4307,61.408869,0.163455,55.908985
B0,24,1,4301,62.964194,-0.199721,55.266217
B0,24,2,4314,62.896616,-0.105702,55.006954
B0,24,3,4289,60.906971,0.104453,54.791327
B0,24,4,4298,59.393671,-0.267566,55.839926
B0,24,5,4305,57.959814,-0.161905,55.284553
B0,24,6,4301,56.540804,-0.053476,54.429203
B0,24,7,4296,55.398045,-0.212291,54.027002
B0,24,8,4307,55.132807,-0.285814,54.910611
B0,24,9,4302,56.079498,-0.557415,54.951185
B0,24,10,4275,57.490292,-0.368421,54.97076
B0,24,11,4218,58.207681,-0.482693,54.077762
B0,24,12,4226,57.884051,-0.092759,54.117369
B0,24,13,4230,58.276123,-0.773995,54.255319
B0,24,14,4252,57.515522,-0.658043,54.727187
B0,24,15,4240,56.660142,-0.328066,55.471698
B0,24,16,4251,55.661727,-0.348153,55.28111
B0,24,17,4276,55.364125,-0.206034,55.238541
B0,24,18,4251,56.367913,-0.208422,56.033874
B0,24,19,4299,57.079786,-0.004652,56.617818
B0,24,20,4293,57.823433,0.11973,56.720242
B0,24,21,4305,57.933333,0.11266,57.189315
B0,24,22,4299,58.71947,-0.172831,57.478483
B0,24,23,4318,60.333256,0.121121,56.785549
