station,event_id,model,horizon_hours,severe_hours,event_MAE,event_mean_residual,prediction_at_peak,residual_at_peak,abs_error_at_peak,underpredicted_peak,predicted_severe_at_first_severe_hour,predicted_severe_hours
Aotizhongxin,5,GRU_R1,6,1,113.188019,113.188019,132.811981,113.188019,113.188019,true,false,0
Aotizhongxin,5,GRU_R1,12,1,125.486282,125.486282,120.513718,125.486282,125.486282,true,false,0
Aotizhongxin,5,GRU_R1,24,1,178.783279,178.783279,67.216721,178.783279,178.783279,true,false,0
Aotizhongxin,5,B0,1,1,8.0,8.0,238.0,8.0,8.0,true,false,0
Aotizhongxin,5,B0,6,1,129.0,129.0,117.0,129.0,129.0,true,false,0
Aotizhongxin,5,B0,12,1,139.0,139.0,107.0,139.0,139.0,true,false,0
Aotizhongxin,5,B0,24,1,216.0,216.0,30.0,216.0,216.0,true,false,0
Aotizhongxin,6,B3_R2,1,3,7.454875,6.952199,246.655014,6.344986,6.344986,true,false,2
Aotizhongxin,6,B3_R2,6,3,110.045395,110.045395,166.135498,86.864502,86.864502,true,false,0
Aotizhongxin,6,B3_R2,12,3,160.629766,160.629766,86.426636,166.573364,166.573364,true,false,0
Aotizhongxin,6,B3_R2,24,3,168.64139,168.64139,71.887657,181.112343,181.112343,true,false,0
Aotizhongxin,6,GRU_R1,1,3,42.256882,42.256882,208.329346,44.670654,44.670654,true,false,0
Aotizhongxin,6,GRU_R1,6,3,97.980418,97.980418,157.762543,95.237457,95.237457,true,false,0
Aotizhongxin,6,GRU_R1,12,3,152.771703,152.771703,108.480103,144.519897,144.519897,true,false,0
Aotizhongxin,6,GRU_R1,24,3,194.491961,194.491961,51.199177,201.800823,201.800823,true,false,0
Aotizhongxin,6,B0,1,3,7.333333,7.333333,250.0,3.0,3.0,true,false,2
Aotizhongxin,6,B0,6,3,37.666667,37.666667,214.0,39.0,39.0,true,false,0
Aotizhongxin,6,B0,12,3,136.333333,136.333333,133.0,120.0,120.0,true,false,0
Aotizhongxin,6,B0,24,3,200.0,200.0,46.0,207.0,207.0,true,false,0
Aotizhongxin,7,B3_R2,1,1,16.98703,16.98703,234.01297,16.98703,16.98703,true,false,0
Aotizhongxin,7,B3_R2,6,1,115.581253,115.581253,135.418747,115.581253,115.581253,true,false,0
Aotizhongxin,7,B3_R2,12,1,138.793076,138.793076,112.206924,138.793076,138.793076,true,false,0
Aotizhongxin,7,B3_R2,24,1,191.203674,191.203674,59.796326,191.203674,191.203674,true,false,0
Aotizhongxin,7,GRU_R1,1,1,22.79216,22.79216,228.20784,22.79216,22.79216,true,false,0
Aotizhongxin,7,GRU_R1,6,1,113.312469,113.312469,137.687531,113.312469,113.312469,true,false,0
Aotizhongxin,7,GRU_R1,12,1,122.543686,122.543686,128.456314,122.543686,122.543686,true,false,0
Aotizhongxin,7,GRU_R1,24,1,188.553768,188.553768,62.446232,188.553768,188.553768,true,false,0
Aotizhongxin,7,B0,1,1,13.0,13.0,238.0,13.0,13.0,true,false,0
Aotizhongxin,7,B0,6,1,67.0,67.0,184.0,67.0,67.0,true,false,0
Aotizhongxin,7,B0,12,1,78.0,78.0,173.0,78.0,78.0,true,false,0
Aotizhongxin,7,B0,24,1,214.0,214.0,37.0,214.0,214.0,true,false,0
