model,regime,stratum_label,n,MAE,RMSE,mean_residual,underprediction_rate_pct,median_abs_error,p90_abs_error
B3_R2,LOW,POST-TEST EXPLORATORY STRATA,228284,23.153511,37.952459,-19.1552,26.368471,11.423737,60.787153
B3_R2,ELEVATED,POST-TEST EXPLORATORY STRATA,162392,31.872526,46.00737,18.365718,67.354919,20.569584,77.278318
B3_R2,SEVERE,POST-TEST EXPLORATORY STRATA,20336,131.901121,173.423318,127.650421,88.596577,116.51532,280.025135
GRU_R1,LOW,POST-TEST EXPLORATORY STRATA,228284,26.883211,48.281995,-22.121379,26.87442,11.971555,71.615527
GRU_R1,ELEVATED,POST-TEST EXPLORATORY STRATA,162392,32.225445,45.67464,14.258622,64.403419,21.85928,75.412569
GRU_R1,SEVERE,POST-TEST EXPLORATORY STRATA,20336,109.33289,141.985607,106.594564,93.73033,89.080322,224.278908
B0,LOW,POST-TEST EXPLORATORY STRATA,228284,27.768092,57.349375,-17.930293,42.11158,10.0,73.0
B0,ELEVATED,POST-TEST EXPLORATORY STRATA,162392,40.725282,58.755365,16.844992,67.619095,29.0,92.0
B0,SEVERE,POST-TEST EXPLORATORY STRATA,20336,93.224479,134.656962,65.549321,72.59048,61.0,225.0
