feature,importance,rank
DEWP,0.30213146514926476,1
TEMP,0.16574952339921023,2
PRES,0.10575026077931873,4
Iws,0.11875906071674555,3
Is,0.004028507250424279,18
Ir,0.002756922250949913,20
month_2,0.015884746766933758,10
month_3,0.02866304437736712,7
month_4,0.02529635455283969,8
month_5,0.004993579497287478,16
month_6,0.003694400394322847,19
month_7,0.01095321745955605,12
month_8,0.010089457747052017,13
month_9,0.006376263174541048,15
month_10,0.09389357347593046,5
month_11,0.01644356841314796,9
month_12,0.011097884944715882,11
hour_1,0.00042224609155026415,21
hour_2,0.0,32
hour_3,0.0,32
hour_4,6.768977287700168e-06,31
hour_5,6.995924073097335e-06,30
hour_6,0.0,32
hour_7,0.0,32
hour_8,0.00026881387965718267,22
hour_9,0.0,32
hour_10,0.0,32
hour_11,0.0,32
hour_12,7.657618001081068e-06,29
hour_13,1.4842205063639197e-05,26
hour_14,0.0,32
hour_15,0.0,32
hour_16,0.00011577082059977952,23
hour_17,0.0,32
hour_18,9.518156398726512e-06,28
hour_19,2.2766225939295104e-05,25
hour_20,1.3963721211283641e-05,27
hour_21,0.0,32
hour_22,6.816075071320258e-05,24
hour_23,0.0,32
cbwd_NW,0.05963489965489906,6
cbwd_SE,0.008716337428939555,14
cbwd_cv,0.00412942819605846,17
